age,descent,sex,area,location,intersection,geojson,date,day_of_week,time,reporting_district,lon,lat
55.0,B,M,Central,ALAMEDA,2ND,"-118.2381, 34.0455",2010-04-20,Tuesday,1235,138,34.0455,-118.2381
37.0,B,M,Wilshire,PICO,RIMPAU,"-118.337, 34.0488",2010-12-21,Tuesday,2218,758,34.0488,-118.337
29.0,H,M,Central,5TH,BROADWAY,"-118.2507, 34.0481",2010-06-04,Friday,2310,153,34.0481,-118.2507
43.0,B,F,Central,4TH,SAN PEDRO,"-118.2422, 34.0454",2010-03-22,Monday,1325,148,34.0454,-118.2422
34.0,O,M,Newton,HILL,ADAMS,"-118.2708, 34.0258",2010-01-12,Tuesday,1800,1321,34.0258,-118.2708
77.0,B,F,West LA,PICO,CARDIFF,"-118.3918, 34.0553",2010-09-20,Monday,1635,857,34.0553,-118.3918
74.0,H,F,Harbor,WEYMOUTH,9TH,"-118.3097, 33.7361",2010-11-19,Friday,1529,561,33.7361,-118.3097
22.0,H,M,Mission,ORION,CABRITO,"-118.4721, 34.2185",2010-07-25,Sunday,800,1991,34.2185,-118.4721
54.0,W,M,Hollywood,LAUREL CANYON                BL,MULHOLLAND                   DR,"-118.3753, 34.1236",2010-10-14,Thursday,1030,621,34.1236,-118.3753
30.0,O,F,Olympic,WESTERN                      AV,6TH                          ST,"-118.3091, 34.0635",2010-03-13,Saturday,2355,2022,34.0635,-118.3091
34.0,W,M,West LA,MONTANA                      AV,BUNDY                        DR,"-118.4726, 34.0506",2010-06-20,Sunday,1200,831,34.0506,-118.4726
35.0,W,M,West LA,WILSHIRE                     BL,BUNDY                        DR,"-118.4675, 34.0441",2010-10-04,Monday,1840,847,34.0441,-118.4675
68.0,W,M,Northeast,HOLLYWOOD                    BL,EDGEMONT,"-118.2962, 34.1018",2010-07-21,Wednesday,1600,1151,34.1018,-118.2962
52.0,W,M,West LA,WILSHIRE                     BL,VETERAN                      AV,"-118.4478, 34.0578",2010-02-25,Thursday,555,817,34.0578,-118.4478
38.0,H,M,Olympic,OLYMPIC,VERMONT,"-118.2916, 34.0526",2010-11-29,Monday,2055,2069,34.0526,-118.2916
17.0,H,M,Topanga,CORBIN                       AV,KITTRIDGE                    ST,"-118.5622, 34.192",2010-04-30,Friday,720,2149,34.192,-118.5622
26.0,H,F,Hollenbeck,MONTEREY                     RD,S  AVENUE 60,"-118.1842, 34.1055",2010-12-25,Saturday,25,404,34.1055,-118.1842
35.0,H,M,Southeast,GARDENA                      BL,MENLO                        AV,"-118.2891, 33.8817",2010-11-22,Monday,1245,1891,33.8817,-118.2891
41.0,H,F,N Hollywood,TUJUNGA                      AV,VALERIO                      ST,"-118.379, 34.2048",2010-08-16,Monday,1220,1505,34.2048,-118.379
38.0,W,F,N Hollywood,TUJUNGA,VENTURA,"-118.379, 34.1546",2010-05-27,Thursday,1030,1563,34.1546,-118.379
26.0,O,M,Wilshire,3RD,FAIRFAX,"-118.3614, 34.0716",2010-01-24,Sunday,1830,734,34.0716,-118.3614
25.0,W,F,Topanga,VENTURA,SHOUP,"-118.6145, 34.1688",2010-07-28,Wednesday,1200,2175,34.1688,-118.6145
40.0,H,M,Wilshire,LUCERNE,11TH,"-118.3295, 34.0525",2010-04-23,Friday,15,758,34.0525,-118.3295
45.0,W,F,West LA,PICO,COTNER,"-118.4367, 34.0362",2010-11-11,Thursday,1415,883,34.0362,-118.4367
27.0,A,F,Southwest,FAIRFAX,ADAMS,"-118.3708, 34.0325",2010-03-14,Sunday,1322,311,34.0325,-118.3708
45.0,H,M,Harbor,ALAMEDA,COLON,"-118.2403, 33.7927",2010-11-19,Friday,630,519,33.7927,-118.2403
82.0,A,F,Rampart,TEMPLE                       ST,PARK VIEW                    ST,"-118.2719, 34.0716",2010-11-21,Sunday,1135,235,34.0716,-118.2719
51.0,B,F,Wilshire,PICO                         BL,LA CIENEGA                   BL,"-118.3762, 34.0534",2010-06-05,Saturday,15,762,34.0534,-118.3762
57.0,O,M,West LA,WILSHIRE                     BL,BUNDY                        DR,"-118.4675, 34.0441",2010-01-30,Saturday,2230,831,34.0441,-118.4675
34.0,W,F,N Hollywood,WHITSETT                     AV,VICTORY                      BL,"-118.4052, 34.1867",2010-01-20,Wednesday,1530,1532,34.1867,-118.4052
35.0,H,M,N Hollywood,CAHUENGA                     BL,OTSEGO                       ST,"-118.3615, 34.1631",2010-05-01,Saturday,310,1559,34.1631,-118.3615
